STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
Uttarakhand,NAINITAL,2013,17,9,1,20,0,20,117,55,62,1,0,10,0,132,60,72,34,7,37,4,0,85,5,33,11,31,0,80,208,842
Uttarakhand,PAURI GARHWAL,2013,6,6,2,3,0,3,43,25,18,0,0,4,15,49,15,34,19,7,15,1,0,48,2,11,7,6,0,7,56,307
Uttarakhand,PITHORAGARH,2013,2,2,0,7,0,7,28,19,9,0,0,1,8,9,1,8,4,0,5,0,0,23,2,4,2,5,0,7,8,117
Uttarakhand,RUDRA PRAYAG,2013,6,2,1,5,0,5,19,10,9,0,0,0,14,6,0,6,3,3,5,0,1,3,4,1,3,3,0,4,18,101
Uttarakhand,TEHRI GARHWAL,2013,5,3,1,5,0,5,23,14,9,0,0,0,2,10,3,7,3,3,3,0,0,1,0,2,0,0,0,0,53,114
Uttarakhand,UDHAMSINGH NAGAR,2013,72,60,7,48,0,48,94,87,7,9,4,39,62,428,267,161,77,29,109,3,0,217,12,82,0,116,0,195,763,2426
Uttarakhand,UTTARKASHI,2013,4,2,1,6,0,6,19,11,8,0,0,0,7,4,0,4,3,2,6,0,0,3,0,2,1,0,0,0,32,92
Uttarakhand,ZZ TOTAL,2013,197,181,42,228,0,228,1032,633,399,17,7,138,248,1596,749,847,334,150,548,29,17,1011,43,295,72,435,0,569,2357,9546
West Bengal,24 PARGANAS NORTH,2013,136,280,52,115,0,115,428,258,170,20,20,46,11,1350,258,1092,511,98,236,24,29,30,35,307,8,1716,0,8,7949,13409
West Bengal,24 PARGANAS SOUTH,2013,226,4,28,189,0,189,397,397,0,18,57,41,134,1226,169,1057,1914,3,474,4,21,336,49,212,2,1978,0,81,8173,15567
West Bengal,ASANSOL,2013,56,49,7,31,0,31,125,87,38,13,49,38,22,733,247,486,262,98,138,4,3,168,15,73,1,467,0,201,2232,4785
West Bengal,BANKURA,2013,57,57,7,24,0,24,44,36,8,11,14,21,9,172,30,142,229,23,80,2,11,171,19,76,0,278,0,157,1032,2494
West Bengal,BDN CP,2013,17,8,4,17,0,17,60,43,17,1,80,14,8,747,214,533,10,49,242,13,5,270,6,77,6,229,0,50,578,2491
West Bengal,BIRBHUM,2013,95,59,34,41,0,41,58,45,13,7,61,14,15,298,111,187,232,19,85,4,13,622,12,99,0,245,0,185,684,2882
West Bengal,BKP CP,2013,88,74,12,41,0,41,169,132,37,10,162,31,2,1325,420,905,90,107,411,3,0,249,21,197,7,705,0,149,2728,6581
West Bengal,BURDWAN,2013,129,247,18,41,0,41,122,107,15,12,76,29,3,650,156,494,277,40,163,3,36,562,25,123,0,378,0,795,1244,4973
